filename,verdict,mismatch_rows,categories,croma_measures,ref_measures,measure_delta
tune_005087.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,13,13,0
tune_005210.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,36,36,0
tune_005276.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,24,24,0
tune_005581.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,26,26,0
tune_005740.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,19,19,0
tune_006519.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,18,18,0
tune_006713.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,36,36,0
tune_006765.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,128,128,0
tune_007761.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,9,9,0
tune_007771.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,9,9,0
tune_007903.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,25,25,0
tune_008107.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,18,18,0
tune_009649.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,56,56,0
tune_009650.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,56,56,0
tune_009651.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,56,56,0
tune_009653.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,56,56,0
tune_009654.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,58,58,0
tune_009736.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,18,18,0
tune_009920.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,12,12,0
tune_010114.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,64,64,0
tune_010206.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,26,26,0
tune_012260.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,9,9,0
tune_012498.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,12,12,0
tune_012583.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,26,26,0
tune_012957.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,25,25,0
tune_013520.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,14,14,0
tune_013640.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,8,8,0
tune_013872.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,31,31,0
